SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,PME,PBE,MMR1
6110761,LAKE,PUBLIC,MIDDLETOWN UNIFIED,MIDDLETOWN,COYOTE VALLEY ELEMENTARY,89,0,5,83
108340,LAKE,PUBLIC,MIDDLETOWN UNIFIED,MIDDLETOWN,LAKE COUNTY INTERNATIONAL CHARTER,13,0,9,4
6010672,LAKE,PUBLIC,MIDDLETOWN UNIFIED,MIDDLETOWN,MINNIE CANNON ELEMENTARY,28,0,4,21
6010680,LAKE,PUBLIC,UPPER LAKE UNION ELEMENTARY,UPPER LAKE,UPPER LAKE ELEMENTARY,64,0,7,57
6134001,LAKE,PRIVATE,,LAKEPORT,KONOCTI CHRISTIAN ACADEMY,13,0,2,11
6010698,LASSEN,PUBLIC,BIG VALLEY JOINT UNIFIED,BIEBER,BIG VALLEY ELEMENTARY,10,0,0,10
6096341,LASSEN,PUBLIC,FORT SAGE UNIFIED,HERLONG,SIERRA PRIMARY,13,0,0,10
6010730,LASSEN,PUBLIC,JANESVILLE UNION ELEMENTARY,JANESVILLE,JANESVILLE ELEMENTARY,29,0,1,25
6010748,LASSEN,PUBLIC,JOHNSTONVILLE ELEMENTARY,SUSANVILLE,JOHNSTONVILLE ELEMENTARY,18,0,2,14
6010763,LASSEN,PUBLIC,RAVENDALE-TERMO ELEMENTARY,DOYLE,LONG VALLEY CHARTER,34,0,3,31
120287,LASSEN,PUBLIC,RAVENDALE-TERMO ELEMENTARY,TERMO,NEW DAY ACADEMY,24,0,10,14
6010797,LASSEN,PUBLIC,RICHMOND ELEMENTARY,SUSANVILLE,RICHMOND ELEMENTARY,20,0,1,19
6010805,LASSEN,PUBLIC,SHAFFER UNION ELEMENTARY,LITCHFIELD,SHAFFER ELEMENTARY,23,0,0,12
6010821,LASSEN,PUBLIC,SUSANVILLE ELEMENTARY,SUSANVILLE,MCKINLEY ELEMENTARY,179,0,0,179
6010847,LASSEN,PUBLIC,WESTWOOD UNIFIED,WESTWOOD,FLETCHER WALKER ELEMENTARY,17,0,0,12
6010938,LOS ANGELES,PUBLIC,ABC UNIFIED,ARTESIA,JOHN F. KENNEDY ELEMENTARY,76,0,0,73
6010946,LOS ANGELES,PUBLIC,ABC UNIFIED,ARTESIA,JOHN H. NIEMES ELEMENTARY,105,0,4,96
6010953,LOS ANGELES,PUBLIC,ABC UNIFIED,ARTESIA,LUTHER BURBANK ELEMENTARY,82,0,1,74
6010987,LOS ANGELES,PUBLIC,ABC UNIFIED,ARTESIA,WILLIAM F. ELLIOTT ELEMENTARY,79,0,1,66
6071351,LOS ANGELES,PUBLIC,ABC UNIFIED,CERRITOS,BENITO JUAREZ ELEMENTARY,55,0,0,51
6071369,LOS ANGELES,PUBLIC,ABC UNIFIED,CERRITOS,BRAGG ELEMENTARY,114,0,0,89
6066716,LOS ANGELES,PUBLIC,ABC UNIFIED,CERRITOS,CECIL B. STOWERS ELEMENTARY,86,0,2,83
6068274,LOS ANGELES,PUBLIC,ABC UNIFIED,CERRITOS,CERRITOS ELEMENTARY,77,0,0,71
6010904,LOS ANGELES,PUBLIC,ABC UNIFIED,CERRITOS,CHARLES J. CARVER ELEMENTARY,81,0,1,75
6085609,LOS ANGELES,PUBLIC,ABC UNIFIED,CERRITOS,FRANK C. LEAL ELEMENTARY,114,0,0,107
6093447,LOS ANGELES,PUBLIC,ABC UNIFIED,CERRITOS,HELEN WITTMANN ELEMENTARY,87,0,2,82
6085617,LOS ANGELES,PUBLIC,ABC UNIFIED,CERRITOS,JOE A. GONSALVES ELEMENTARY,89,0,0,87
6093454,LOS ANGELES,PUBLIC,ABC UNIFIED,CERRITOS,PATRICIA NIXON ELEMENTARY,111,0,2,108
6010920,LOS ANGELES,PUBLIC,ABC UNIFIED,HAWAIIAN GARDENS,HAWAIIAN ELEMENTARY,50,0,0,50
6010979,LOS ANGELES,PUBLIC,ABC UNIFIED,HAWAIIAN GARDENS,VENN W. FURGESON ELEMENTARY,83,0,0,77
6010862,LOS ANGELES,PUBLIC,ABC UNIFIED,LAKEWOOD,ALOHA ELEMENTARY,56,0,2,51
6010912,LOS ANGELES,PUBLIC,ABC UNIFIED,LAKEWOOD,ELLA P. MELBOURNE ELEMENTARY,84,0,1,73
6010961,LOS ANGELES,PUBLIC,ABC UNIFIED,LAKEWOOD,PALMS ELEMENTARY,78,0,0,78
6010995,LOS ANGELES,PUBLIC,ABC UNIFIED,LAKEWOOD,WILLOW ELEMENTARY,58,0,0,57
6115679,LOS ANGELES,PUBLIC,ACTON-AGUA DULCE UNIFIED,ACTON,MEADOWLARK ELEMENTARY,60,0,9,48
6022743,LOS ANGELES,PUBLIC,ACTON-AGUA DULCE UNIFIED,AGUA DULCE,AGUA DULCE ELEMENTARY,19,0,1,17
6011019,LOS ANGELES,PUBLIC,ALHAMBRA UNIFIED,ALHAMBRA,EMERY PARK ELEMENTARY,53,0,2,48
6011027,LOS ANGELES,PUBLIC,ALHAMBRA UNIFIED,ALHAMBRA,FREMONT ELEMENTARY,54,0,0,52
6011035,LOS ANGELES,PUBLIC,ALHAMBRA UNIFIED,ALHAMBRA,GARFIELD ELEMENTARY,60,0,2,57
6011043,LOS ANGELES,PUBLIC,ALHAMBRA UNIFIED,ALHAMBRA,GRANADA ELEMENTARY,38,0,0,38
6011050,LOS ANGELES,PUBLIC,ALHAMBRA UNIFIED,ALHAMBRA,MARGUERITA ELEMENTARY,50,0,0,50
6011068,LOS ANGELES,PUBLIC,ALHAMBRA UNIFIED,ALHAMBRA,MARTHA BALDWIN ELEMENTARY,113,0,1,108
6011084,LOS ANGELES,PUBLIC,ALHAMBRA UNIFIED,ALHAMBRA,PARK ELEMENTARY,75,0,0,71
6011092,LOS ANGELES,PUBLIC,ALHAMBRA UNIFIED,ALHAMBRA,RAMONA ELEMENTARY,83,0,1,82
6011118,LOS ANGELES,PUBLIC,ALHAMBRA UNIFIED,ALHAMBRA,WILLIAM NORTHRUP ELEMENTARY,64,0,1,63
6011001,LOS ANGELES,PUBLIC,ALHAMBRA UNIFIED,MONTEREY PARK,BRIGHTWOOD ELEMENTARY,92,0,5,87
6011076,LOS ANGELES,PUBLIC,ALHAMBRA UNIFIED,MONTEREY PARK,MONTEREY HIGHLANDS ELEMENTARY,89,0,2,87
6011100,LOS ANGELES,PUBLIC,ALHAMBRA UNIFIED,MONTEREY PARK,REPETTO ELEMENTARY,78,0,0,74
6011126,LOS ANGELES,PUBLIC,ALHAMBRA UNIFIED,MONTEREY PARK,YNEZ ELEMENTARY,82,0,0,82
6011134,LOS ANGELES,PUBLIC,ARCADIA UNIFIED,ARCADIA,BALDWIN STOCKER ELEMENTARY,90,0,2,86
6011159,LOS ANGELES,PUBLIC,ARCADIA UNIFIED,ARCADIA,CAMINO GROVE ELEMENTARY,57,0,0,57
6011167,LOS ANGELES,PUBLIC,ARCADIA UNIFIED,ARCADIA,HIGHLAND OAKS ELEMENTARY,114,0,0,114
6011175,LOS ANGELES,PUBLIC,ARCADIA UNIFIED,ARCADIA,HOLLY AVENUE ELEMENTARY,120,0,2,116
6011183,LOS ANGELES,PUBLIC,ARCADIA UNIFIED,ARCADIA,HUGO REID ELEMENTARY,64,0,1,63
6011191,LOS ANGELES,PUBLIC,ARCADIA UNIFIED,ARCADIA,LONGLEY WAY ELEMENTARY,86,0,0,79
6011233,LOS ANGELES,PUBLIC,AZUSA UNIFIED,AZUSA,CHARLES H. LEE ELEMENTARY,91,0,0,85
6011241,LOS ANGELES,PUBLIC,AZUSA UNIFIED,AZUSA,CLIFFORD D. MURRAY ELEMENTARY,101,0,1,94
6011266,LOS ANGELES,PUBLIC,AZUSA UNIFIED,AZUSA,GLADSTONE STREET ELEMENTARY,79,0,0,76
6011274,LOS ANGELES,PUBLIC,AZUSA UNIFIED,AZUSA,HENRY DALTON ELEMENTARY,76,0,2,72
6011290,LOS ANGELES,PUBLIC,AZUSA UNIFIED,AZUSA,MAGNOLIA ELEMENTARY,79,0,1,76
6011308,LOS ANGELES,PUBLIC,AZUSA UNIFIED,AZUSA,MOUNTAIN VIEW ELEMENTARY,91,0,0,88
6011316,LOS ANGELES,PUBLIC,AZUSA UNIFIED,AZUSA,PARAMOUNT ELEMENTARY,65,0,0,64
6011332,LOS ANGELES,PUBLIC,AZUSA UNIFIED,AZUSA,VALLEYDALE ELEMENTARY,66,1,0,64
6011340,LOS ANGELES,PUBLIC,AZUSA UNIFIED,AZUSA,VICTOR F. HODGE ELEMENTARY,122,0,1,121
6011357,LOS ANGELES,PUBLIC,AZUSA UNIFIED,AZUSA,W. R. POWELL ELEMENTARY,36,0,0,29
6011217,LOS ANGELES,PUBLIC,AZUSA UNIFIED,COVINA,ALICE M. ELLINGTON ELEMENTARY,65,0,0,56
6011381,LOS ANGELES,PUBLIC,BALDWIN PARK UNIFIED,BALDWIN PARK,CENTRAL ELEMENTARY,90,0,0,90
6011373,LOS ANGELES,PUBLIC,BALDWIN PARK UNIFIED,BALDWIN PARK,CHARLES BURSCH ELEMENTARY,94,0,1,92
6011407,LOS ANGELES,PUBLIC,BALDWIN PARK UNIFIED,BALDWIN PARK,DE ANZA ELEMENTARY,79,0,1,77
6011415,LOS ANGELES,PUBLIC,BALDWIN PARK UNIFIED,BALDWIN PARK,ELWIN ELEMENTARY,77,0,1,76
6011431,LOS ANGELES,PUBLIC,BALDWIN PARK UNIFIED,BALDWIN PARK,ERNEST R. GEDDES ELEMENTARY,146,0,1,144
6011423,LOS ANGELES,PUBLIC,BALDWIN PARK UNIFIED,BALDWIN PARK,FOSTER ELEMENTARY,92,0,0,92
6011449,LOS ANGELES,PUBLIC,BALDWIN PARK UNIFIED,BALDWIN PARK,KENMORE ELEMENTARY,100,0,2,98
6011464,LOS ANGELES,PUBLIC,BALDWIN PARK UNIFIED,BALDWIN PARK,MARGARET HEATH ELEMENTARY,104,0,0,102
6011480,LOS ANGELES,PUBLIC,BALDWIN PARK UNIFIED,BALDWIN PARK,PLEASANT VIEW ELEMENTARY,65,0,0,64
6011498,LOS ANGELES,PUBLIC,BALDWIN PARK UNIFIED,BALDWIN PARK,TRACY ELEMENTARY,105,0,0,105
6011506,LOS ANGELES,PUBLIC,BALDWIN PARK UNIFIED,BALDWIN PARK,VINELAND ELEMENTARY,112,0,0,112
6011514,LOS ANGELES,PUBLIC,BALDWIN PARK UNIFIED,BALDWIN PARK,WALNUT ELEMENTARY,108,0,1,105
6011530,LOS ANGELES,PUBLIC,BASSETT UNIFIED,LA PUENTE,DON JULIAN ELEMENTARY,105,0,0,100
6057483,LOS ANGELES,PUBLIC,BASSETT UNIFIED,LA PUENTE,EDGEWOOD ACADEMY,80,0,0,80
6011563,LOS ANGELES,PUBLIC,BASSETT UNIFIED,LA PUENTE,J. E. VAN WIG ELEMENTARY,91,1,1,87
6011571,LOS ANGELES,PUBLIC,BASSETT UNIFIED,LA PUENTE,SUNKIST ELEMENTARY,84,0,0,81
6011605,LOS ANGELES,PUBLIC,BELLFLOWER UNIFIED,BELLFLOWER,ALBERT BAXTER ELEMENTARY,63,0,0,63
6011621,LOS ANGELES,PUBLIC,BELLFLOWER UNIFIED,BELLFLOWER,ERNIE PYLE ELEMENTARY,91,0,1,90
6011647,LOS ANGELES,PUBLIC,BELLFLOWER UNIFIED,BELLFLOWER,FRANK E. WOODRUFF ELEMENTARY,96,0,0,96
128306,LOS ANGELES,PUBLIC,BELLFLOWER UNIFIED,BELLFLOWER,HOME EDUCATION INDEPENDENT STUDY ACADEMY,15,1,6,8
6011696,LOS ANGELES,PUBLIC,BELLFLOWER UNIFIED,BELLFLOWER,RAMONA ELEMENTARY,92,0,1,89
6011712,LOS ANGELES,PUBLIC,BELLFLOWER UNIFIED,BELLFLOWER,THOMAS JEFFERSON ELEMENTARY,80,0,1,78
6057517,LOS ANGELES,PUBLIC,BELLFLOWER UNIFIED,BELLFLOWER,WASHINGTON ELEMENTARY,130,0,0,130
6011654,LOS ANGELES,PUBLIC,BELLFLOWER UNIFIED,LAKEWOOD,CRAIG WILLIAMS ELEMENTARY,132,0,3,125
6011639,LOS ANGELES,PUBLIC,BELLFLOWER UNIFIED,LAKEWOOD,ESTHER LINDSTROM ELEMENTARY,126,0,2,122
6011613,LOS ANGELES,PUBLIC,BELLFLOWER UNIFIED,LAKEWOOD,INTENSIVE LEARNING CENTER,116,0,1,113
6011704,LOS ANGELES,PUBLIC,BELLFLOWER UNIFIED,LAKEWOOD,STEPHEN FOSTER ELEMENTARY,129,1,1,127
6011746,LOS ANGELES,PUBLIC,BEVERLY HILLS UNIFIED,BEVERLY HILLS,BEVERLY VISTA ELEMENTARY,76,0,7,51
6011753,LOS ANGELES,PUBLIC,BEVERLY HILLS UNIFIED,BEVERLY HILLS,EL RODEO ELEMENTARY,65,0,7,58
6011761,LOS ANGELES,PUBLIC,BEVERLY HILLS UNIFIED,BEVERLY HILLS,HAWTHORNE ELEMENTARY,72,2,10,48
6011779,LOS ANGELES,PUBLIC,BEVERLY HILLS UNIFIED,BEVERLY HILLS,HORACE MANN ELEMENTARY,57,0,8,48
6011829,LOS ANGELES,PUBLIC,BONITA UNIFIED,LA VERNE,GRACE MILLER ELEMENTARY,65,0,1,63
6011837,LOS ANGELES,PUBLIC,BONITA UNIFIED,LA VERNE,J. MARION ROYNON ELEMENTARY,122,2,3,114
6011845,LOS ANGELES,PUBLIC,BONITA UNIFIED,LA VERNE,LA VERNE HEIGHTS ELEMENTARY,73,0,3,70
6110035,LOS ANGELES,PUBLIC,BONITA UNIFIED,LA VERNE,OAK MESA ELEMENTARY,100,0,3,97
6011787,LOS ANGELES,PUBLIC,BONITA UNIFIED,SAN DIMAS,ALLEN AVENUE ELEMENTARY,64,0,5,59
6011795,LOS ANGELES,PUBLIC,BONITA UNIFIED,SAN DIMAS,ARMA J. SHULL ELEMENTARY,92,0,3,87
6011803,LOS ANGELES,PUBLIC,BONITA UNIFIED,SAN DIMAS,FRED EKSTRAND ELEMENTARY,72,0,2,69
6011811,LOS ANGELES,PUBLIC,BONITA UNIFIED,SAN DIMAS,GLADSTONE ELEMENTARY,78,1,1,71
6011910,LOS ANGELES,PUBLIC,BURBANK UNIFIED,BURBANK,BRET HARTE ELEMENTARY,118,0,8,105
6012025,LOS ANGELES,PUBLIC,BURBANK UNIFIED,BURBANK,GEORGE WASHINGTON ELEMENTARY,59,0,1,57
6011969,LOS ANGELES,PUBLIC,BURBANK UNIFIED,BURBANK,JOAQUIN MILLER ELEMENTARY,99,0,0,96
6011993,LOS ANGELES,PUBLIC,BURBANK UNIFIED,BURBANK,PROVIDENCIA ELEMENTARY,58,0,0,57
6012017,LOS ANGELES,PUBLIC,BURBANK UNIFIED,BURBANK,R. L. STEVENSON ELEMENTARY,113,0,1,86
6011894,LOS ANGELES,PUBLIC,BURBANK UNIFIED,BURBANK,RALPH EMERSON ELEMENTARY,84,0,2,81
6012009,LOS ANGELES,PUBLIC,BURBANK UNIFIED,BURBANK,THEODORE ROOSEVELT ELEMENTARY,100,0,2,89
6011886,LOS ANGELES,PUBLIC,BURBANK UNIFIED,BURBANK,THOMAS EDISON ELEMENTARY,86,0,1,77
6011928,LOS ANGELES,PUBLIC,BURBANK UNIFIED,BURBANK,THOMAS JEFFERSON ELEMENTARY,84,0,0,82
6011878,LOS ANGELES,PUBLIC,BURBANK UNIFIED,BURBANK,WALT DISNEY ELEMENTARY,86,0,3,75
6011951,LOS ANGELES,PUBLIC,BURBANK UNIFIED,BURBANK,WILLIAM MCKINLEY ELEMENTARY,86,0,7,73
6012033,LOS ANGELES,PUBLIC,CASTAIC UNION,CASTAIC,CASTAIC ELEMENTARY,64,0,0,63
6107353,LOS ANGELES,PUBLIC,CASTAIC UNION,CASTAIC,LIVE OAK ELEMENTARY,100,0,1,99
101600,LOS ANGELES,PUBLIC,CASTAIC UNION,CASTAIC,NORTHLAKE HILLS ELEMENTARY,108,0,0,108
6012041,LOS ANGELES,PUBLIC,CHARTER OAK UNIFIED,COVINA,BADILLO ELEMENTARY,87,0,2,76
6012066,LOS ANGELES,PUBLIC,CHARTER OAK UNIFIED,COVINA,CEDARGROVE ELEMENTARY,101,0,1,94
6012090,LOS ANGELES,PUBLIC,CHARTER OAK UNIFIED,COVINA,GLEN OAK ELEMENTARY,59,0,2,54
6012132,LOS ANGELES,PUBLIC,CHARTER OAK UNIFIED,GLENDORA,WASHINGTON ELEMENTARY,73,0,3,67
6012140,LOS ANGELES,PUBLIC,CHARTER OAK UNIFIED,GLENDORA,WILLOW ELEMENTARY,48,0,1,43
6012157,LOS ANGELES,PUBLIC,CLAREMONT UNIFIED,CLAREMONT,CHAPARRAL ELEMENTARY,92,0,9,83
6012165,LOS ANGELES,PUBLIC,CLAREMONT UNIFIED,CLAREMONT,CONDIT ELEMENTARY,92,0,2,90
6012181,LOS ANGELES,PUBLIC,CLAREMONT UNIFIED,CLAREMONT,MOUNTAIN VIEW ELEMENTARY,60,0,5,55
6012199,LOS ANGELES,PUBLIC,CLAREMONT UNIFIED,CLAREMONT,OAKMONT ELEMENTARY,32,0,2,30
6012207,LOS ANGELES,PUBLIC,CLAREMONT UNIFIED,CLAREMONT,SUMNER ELEMENTARY,60,0,8,52
6012215,LOS ANGELES,PUBLIC,CLAREMONT UNIFIED,CLAREMONT,SYCAMORE ELEMENTARY,53,0,14,39
6012223,LOS ANGELES,PUBLIC,CLAREMONT UNIFIED,CLAREMONT,VISTA DEL VALLE ELEMENTARY,39,0,4,35
6013494,LOS ANGELES,PUBLIC,COMPTON UNIFIED,CARSON,RALPH BUNCHE ELEMENTARY,77,0,0,71
6023741,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,ANDERSON ELEMENTARY,84,0,0,84
6012231,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,BURSCH ELEMENTARY,100,0,0,95
6120877,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,"CLINTON, WILLIAM JEFFERSON",173,0,0,147
6012256,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,DICKISON ELEMENTARY,154,0,1,141
6012272,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,EMERSON ELEMENTARY,113,0,1,109
6012280,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,FOSTER ELEMENTARY,173,0,0,163
6012298,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,JEFFERSON ELEMENTARY,118,0,0,108
6012306,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,KELLY ELEMENTARY,144,0,0,144
6012322,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,LAUREL STREET ELEMENTARY,106,0,0,96
6012348,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,LONGFELLOW ELEMENTARY,97,0,1,94
6023782,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,MARTIN LUTHER KING ELEMENTARY,95,0,0,89
6012355,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,MAYO ELEMENTARY,138,0,0,138
6013478,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,MCKINLEY ELEMENTARY,88,0,0,84
6012314,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,ROBERT F. KENNEDY ELEMENTARY,146,0,0,119
6012264,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,RONALD E. MCNAIR ELEMENTARY,110,0,0,110
6012389,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,ROOSEVELT ELEMENTARY,160,0,0,135
6012397,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,ROSECRANS ELEMENTARY,129,0,0,121
6012405,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,TIBBY ELEMENTARY,70,0,0,66
6012413,LOS ANGELES,PUBLIC,COMPTON UNIFIED,COMPTON,WASHINGTON ELEMENTARY,77,0,0,56
6023758,LOS ANGELES,PUBLIC,COMPTON UNIFIED,LOS ANGELES,CARVER ELEMENTARY,79,0,0,73
6023774,LOS ANGELES,PUBLIC,COMPTON UNIFIED,LOS ANGELES,LINCOLN ELEMENTARY,47,0,1,45
6012439,LOS ANGELES,PUBLIC,COVINA-VALLEY UNIFIED,COVINA,BARRANCA ELEMENTARY,125,2,2,116
6012447,LOS ANGELES,PUBLIC,COVINA-VALLEY UNIFIED,COVINA,BEN LOMOND ELEMENTARY,89,0,1,80
6012470,LOS ANGELES,PUBLIC,COVINA-VALLEY UNIFIED,COVINA,CYPRESS ELEMENTARY,116,0,0,103
6012520,LOS ANGELES,PUBLIC,COVINA-VALLEY UNIFIED,COVINA,LARK ELLEN ELEMENTARY,66,0,0,57
6012546,LOS ANGELES,PUBLIC,COVINA-VALLEY UNIFIED,COVINA,MANZANITA ELEMENTARY,39,0,0,37
6012553,LOS ANGELES,PUBLIC,COVINA-VALLEY UNIFIED,COVINA,MERWIN ELEMENTARY,77,1,0,67
6012512,LOS ANGELES,PUBLIC,COVINA-VALLEY UNIFIED,WEST COVINA,GROVECENTER ELEMENTARY,81,0,0,81
6012561,LOS ANGELES,PUBLIC,COVINA-VALLEY UNIFIED,WEST COVINA,MESA ELEMENTARY,94,2,4,83
6012587,LOS ANGELES,PUBLIC,COVINA-VALLEY UNIFIED,WEST COVINA,ROWLAND AVENUE ELEMENTARY,98,0,0,96
6012645,LOS ANGELES,PUBLIC,COVINA-VALLEY UNIFIED,WEST COVINA,WORKMAN AVENUE ELEMENTARY,111,0,0,106
128322,LOS ANGELES,PUBLIC,CULVER CITY UNIFIED,CULVER CITY,CULVER CITY UNIFIED SCHOOL DISTRICT ACADEMY, ,,,
6012678,LOS ANGELES,PUBLIC,CULVER CITY UNIFIED,CULVER CITY,EL MARINO ELEMENTARY,167,0,5,160
6012686,LOS ANGELES,PUBLIC,CULVER CITY UNIFIED,CULVER CITY,EL RINCON ELEMENTARY,114,0,1,112
6012694,LOS ANGELES,PUBLIC,CULVER CITY UNIFIED,CULVER CITY,FARRAGUT ELEMENTARY,85,0,3,82
6012702,LOS ANGELES,PUBLIC,CULVER CITY UNIFIED,CULVER CITY,LA BALLONA ELEMENTARY,95,0,1,92
6012660,LOS ANGELES,PUBLIC,CULVER CITY UNIFIED,CULVER CITY,LINWOOD E. HOWE ELEMENTARY,107,0,4,102
6012744,LOS ANGELES,PUBLIC,DOWNEY UNIFIED,DOWNEY,ALAMEDA ELEMENTARY,155,0,0,135
6012801,LOS ANGELES,PUBLIC,DOWNEY UNIFIED,DOWNEY,GALLATIN ELEMENTARY,90,0,0,89
6012736,LOS ANGELES,PUBLIC,DOWNEY UNIFIED,DOWNEY,GAULDIN ELEMENTARY,90,0,1,86
6012819,LOS ANGELES,PUBLIC,DOWNEY UNIFIED,DOWNEY,IMPERIAL ELEMENTARY,106,0,0,102
6012785,LOS ANGELES,PUBLIC,DOWNEY UNIFIED,DOWNEY,LEWIS ELEMENTARY,122,0,0,122
6012835,LOS ANGELES,PUBLIC,DOWNEY UNIFIED,DOWNEY,PRICE ELEMENTARY,111,0,1,98
6012868,LOS ANGELES,PUBLIC,DOWNEY UNIFIED,DOWNEY,RIO HONDO ELEMENTARY,114,0,0,113
6012876,LOS ANGELES,PUBLIC,DOWNEY UNIFIED,DOWNEY,RIO SAN GABRIEL ELEMENTARY,87,0,0,87
6012793,LOS ANGELES,PUBLIC,DOWNEY UNIFIED,DOWNEY,UNSWORTH ELEMENTARY,83,0,0,81
6012777,LOS ANGELES,PUBLIC,DOWNEY UNIFIED,DOWNEY,WARD ELEMENTARY,91,0,0,89
6012900,LOS ANGELES,PUBLIC,DOWNEY UNIFIED,DOWNEY,WILLIAMS ELEMENTARY,148,0,0,144
6012918,LOS ANGELES,PUBLIC,DUARTE UNIFIED,DUARTE,ANDRES DUARTE ELEMENTARY,67,0,1,65
6012926,LOS ANGELES,PUBLIC,DUARTE UNIFIED,DUARTE,BEARDSLEE ELEMENTARY,46,0,1,45
6012934,LOS ANGELES,PUBLIC,DUARTE UNIFIED,DUARTE,MAXWELL ELEMENTARY,57,0,0,54
6012942,LOS ANGELES,PUBLIC,DUARTE UNIFIED,DUARTE,ROYAL OAKS ELEMENTARY,80,0,2,77
6012959,LOS ANGELES,PUBLIC,DUARTE UNIFIED,DUARTE,VALLEY VIEW ELEMENTARY,56,0,0,56
6012975,LOS ANGELES,PUBLIC,EAST WHITTIER CITY ELEMENTARY,WHITTIER,CERES ELEMENTARY,66,0,0,66
6013007,LOS ANGELES,PUBLIC,EAST WHITTIER CITY ELEMENTARY,WHITTIER,EVERGREEN ELEMENTARY,80,0,0,80
6013031,LOS ANGELES,PUBLIC,EAST WHITTIER CITY ELEMENTARY,WHITTIER,LA COLIMA ELEMENTARY,108,0,2,96
6013049,LOS ANGELES,PUBLIC,EAST WHITTIER CITY ELEMENTARY,WHITTIER,LAUREL ELEMENTARY,133,0,3,129
6089148,LOS ANGELES,PUBLIC,EAST WHITTIER CITY ELEMENTARY,WHITTIER,LEFFINGWELL ELEMENTARY,118,1,6,111
6013072,LOS ANGELES,PUBLIC,EAST WHITTIER CITY ELEMENTARY,WHITTIER,MULBERRY ELEMENTARY,92,0,2,82
6013080,LOS ANGELES,PUBLIC,EAST WHITTIER CITY ELEMENTARY,WHITTIER,MURPHY RANCH ELEMENTARY,90,0,0,90
6013098,LOS ANGELES,PUBLIC,EAST WHITTIER CITY ELEMENTARY,WHITTIER,OCEAN VIEW ELEMENTARY,139,0,7,127
6013106,LOS ANGELES,PUBLIC,EAST WHITTIER CITY ELEMENTARY,WHITTIER,ORCHARD DALE ELEMENTARY,91,1,2,88
6013114,LOS ANGELES,PUBLIC,EAST WHITTIER CITY ELEMENTARY,WHITTIER,SCOTT AVENUE ELEMENTARY,133,3,1,122
6106421,LOS ANGELES,PUBLIC,EASTSIDE UNION ELEMENTARY,LANCASTER,COLUMBIA ELEMENTARY,131,0,4,127
6012967,LOS ANGELES,PUBLIC,EASTSIDE UNION ELEMENTARY,LANCASTER,EASTSIDE ELEMENTARY,134,0,2,132
6114227,LOS ANGELES,PUBLIC,EASTSIDE UNION ELEMENTARY,LANCASTER,TIERRA BONITA ELEMENTARY,113,0,0,113
6013254,LOS ANGELES,PUBLIC,EL MONTE CITY,ARCADIA,RIO HONDO ELEMENTARY,67,0,0,59
6013130,LOS ANGELES,PUBLIC,EL MONTE CITY,EL MONTE,CHERRYLEE ELEMENTARY,80,0,0,73
6013155,LOS ANGELES,PUBLIC,EL MONTE CITY,EL MONTE,COLUMBIA ELEMENTARY,59,0,0,54
6013163,LOS ANGELES,PUBLIC,EL MONTE CITY,EL MONTE,CORTADA ELEMENTARY,76,0,0,76
6013171,LOS ANGELES,PUBLIC,EL MONTE CITY,EL MONTE,DURFEE ELEMENTARY,76,0,1,72
6013197,LOS ANGELES,PUBLIC,EL MONTE CITY,EL MONTE,GIDLEY ELEMENTARY,30,0,0,29
6013205,LOS ANGELES,PUBLIC,EL MONTE CITY,EL MONTE,LEGORE ELEMENTARY,61,0,0,60
6013221,LOS ANGELES,PUBLIC,EL MONTE CITY,EL MONTE,NEW LEXINGTON ELEMENTARY,56,0,0,50
6013247,LOS ANGELES,PUBLIC,EL MONTE CITY,EL MONTE,POTRERO ELEMENTARY,88,0,0,85
6013262,LOS ANGELES,PUBLIC,EL MONTE CITY,EL MONTE,RIO VISTA ELEMENTARY,58,1,0,57
6013189,LOS ANGELES,PUBLIC,EL MONTE CITY,EL MONTE,SHIRPSER ELEMENTARY,95,0,1,90
6013288,LOS ANGELES,PUBLIC,EL MONTE CITY,EL MONTE,WILKERSON ELEMENTARY,80,0,0,78
